overall,voteBinary,verified,reviewTime,asin,style,reviewText,summary,image,vote,review_num_noun,review_num_verb,review_num_adj,review_num_adv,review_num_adp,review_num_propn,summary_num_noun,summary_num_verb,summary_num_adj,summary_num_adv,summary_num_adp,summary_num_propn,review_num_length,summary_num_length
5,1,False,"11 27, 2013",1118461304,{'Format:': ' Hardcover'},"Not one thing in this book seemed an obvious original thought. However, the clarity with which this author explains how innovation happens is remarkable.

Alan Gregerman discusses the meaning of human interactions and the kinds of situations that tend to inspire original and/or clear thinking that leads to innovation. These things include how people communicate in certain situations such as when they are outside of their normal patterns.

Gregerman identifies the ingredients that make innovation more likely. This includes people being compelled to interact when they normally wouldn't, leading to serendipity. Sometimes the phenomenon will occur through collaboration, and sometimes by chance such as when an individual is away from home on travel.

I recommend this book for its common sense, its truth and the apparent mastery of the subject by the author.",Clear on what leads to innovation,0,2.0,32,17,13,6,18,3,1,1,0,0,2,1,133,6
5,0,False,"11 1, 2013",1118461304,{'Format:': ' Kindle Edition'},"I have enjoyed Dr. Alan Gregerman's weekly blog ([...] and two previous books since taking an innovation class with Alan over a decade ago.  He opened my eyes to seeing the world in a fresh way and also taught me structured techniques that I can use to increase the creative problem solving skills of teams and individuals.

Alan untangles the difference between invention and innovation and makes it much easier to see that 99%+ of innovation is adaption of proven inventions borrowed from other industries, disciplines, contexts, and cultures.

His previous book, Surrounded by Geniuses, is excellent.  It is a great mix of ideas and memorable examples of his insights in action.

His newest book, The Necessity of Strangers, builds on that previous body of knowledge and delves further into a critical dimension of his innovation research about the power of making connections outside of one's group to discover alternative approaches to addressing a challenge.  The book is full of excellent examples of individuals and organizations tackling challenges by seeking ideas and insights from ""strangers"".  Alan borrows heavily from personal experience which enriches the storytelling aspect that makes his writing so accessible.

If you have not seen Alan teaching his ideas or present to an audience, I would highly recommend it.  He has been a featured speaker at a solution architect leadership development program at our firm.  He recently presented the ideas from The Necessity of Strangers to a large audience of executives at our firm that left people talking, engaged, and energized.

I highly recommend his books and Alan's live presentations.","Becoming more innovative by opening yourself to conversations with ""strangers""",0,0,69,32,24,9,36,12,2,2,1,1,3,0,262,10
5,0,False,"10 10, 2013",1118461304,{'Format:': ' Hardcover'},"Alan Gregerman believes that innovation comes from viewing problems from different and fresh perspectives.  In The Necessity of Strangers, he tells short, simple stories to help free us from current, legacy views of the problem at hand.  He then provides a toolbox containing practical exercises - to stretch our thinking, to collaborate more effectively, to find strangers - all focused on getting us to view problems from different perspectives.  The Necessity of Strangers is a quick read that I keep on the desk as a constant reminder to seek novel views from new sources.  Like matter to anti-matter, The Necessity of Strangers is the perfect and completing complement to his earlier Surrounded by Geniuses.  Gil Miller, Chief Technology Officer, Noblis",The World from Different Perspectives,0,0,22,18,15,3,18,15,0,0,1,0,1,2,120,5
5,0,False,"10 9, 2013",1118461304,{'Format:': ' Hardcover'},"Alan Gregerman is a smart, funny, entertaining writer who will jostle your point of view. Through every encounter with a stranger, Alan opens his mind and heart to new possibilities. His ability to spot meaningful connections and weave them into compelling stories allows us all to learn vicariously. His rich life experiences become our learning playground. I highly recommend this book and encourage you to share what you learn from strangers--as the result of your delightfully modified worldview.",Strangers are Your New Best Friends,0,0,18,13,7,3,8,3,2,0,1,0,0,1,78,6
5,1,False,"09 7, 2013",1118461304,{'Format:': ' Hardcover'},"As I began to read this book, I was again reminded of how deceptively complicated the word ""stranger"" is. It could refer to someone we have never heard of, of course, but it could also refer to someone we have met or heard about. We know their name but nothing else about them. Then there is another type of ""stranger"": someone we think we know well but really don't. We have false assumptions, a mindset, about who they are and aren't, what they can and can't do, and whether or not they would be willing to provide or receive assistance.

Alan Gregerman wrote this book to explain how and why - with all due respect to the importance of one's family members, friends, and associates -- it is imperative to engage, learn from, and collaborate with strangers. ""People who are very different from us are essential to our growth and success as individuals and organizations."" Just as Henry Chesbrough has devised an open business model, it could be said that Gregerman offers an open people model. How so?

""Each day we pass by more than one hundred people that could change our lives but we never make the time or effort to connect. The best way to solve any challenge or create any new opportunity is to begin by being curious about the world around us and realize that it is filled with remarkable people, insights, and possibilities."" Nonetheless, there are those false assumptions and, perhaps, at least some concern about being rejected and feeling embarrassed or even foolish.

He suggests a new paradigm individuals and organizations ""wise enough"" to incorporate exploration and openness in their DNA. Here's its formula:

Business and Personal Success =
What I Already Know +
My Knowledge or Understanding Gap +
A Stranger (or Strangers) Who Can Fill It

His citation of one of my favorite Charles Kettering quotations is dead-on:

""Where there is an open mind there will always be a frontier.""

Gregerman devotes a great deal of attention to explaining how to develop the necessary mindset, one that embraces rather than recoils from exploration and openness. There are four core principles that provide its foundation: humility, curiosity, respect, and purpose. For those who are especially reluctant to become explorers of what is -- for them -- not only unfamiliar but perhaps terrifying territory, I presume to suggest one other: the courage to which Jack Dempsey refers when explaining that ""champions get up when they can't.""

These are among the passages that caught my eye:

o Questions that strangers can help to answer (Page 9)
o The Race to the South Pole (20-28)
o What Science Tells Us (30-39)
o From Mindset to Guiding Principles (51-56)
o Helicopters. Hairstyles and Cars That Won't Collide (64-73)
o Finding the Right Strangers (78-84)
o Recognizing the Genius in Everyone (89-93)
o Rethinking Employee Engagement (96-103)
o Why Collaborate? (110-118)
o The New World of Customers (131-134)
o Understanding and Empowering Strangers (138-143)
o The Promise of Strangers (152-155)
o Changing the Game (158-163
o Getting Past the First Bite (174-176)
o Essential Tools for Implementation (189-201)

When concluding his book, Alan Gregerman acknowledges the difficulty while stressing the importance of ""taking the first step"" toward understanding the potential importance of strangers to us and (yes) our potential importance to them. He observes, ""As humans we have the amazing ability to be open and to dream, imagine, explore, learn, connect, share, collaborate, innovate, and grow, to go big instead of going home. So get out there and find the stranger or the [strange] idea that could change your life."" Who knows? We may be that stranger or have that idea that someone else needs. Nothing ventured....","How and why it is imperative to engage, learn from, and collaborate with strangers",0,10.0,107,84,38,29,53,48,1,3,1,0,2,0,619,14
5,0,False,"05 11, 2014",1118461304,{'Format:': ' Hardcover'},"I teach a class on innovation and I used the Necessity of Strangers as one of the required books. The students loved the book. The book is an insightful piece of literature that turns the common knowledge of networking on its head. The main point of the book is that random strangers are able to be much more beneficial in the growth of a product or business, because strangers have outside perspectives without bias.

I would highly recommend the book. Also, Mr. Gregerman is a wonderful public speaker!",Insightful & Very Useful!,0,0,21,8,9,4,11,4,0,0,2,0,0,1,88,4
5,0,False,"05 9, 2014",1118461304,{'Format:': ' Hardcover'},"I so appreciated the insights and perspective this book.  Allen Gregerman organIzes and presents ideas beautifully - reminding us that seeing things in new ways is so very valuable.  So much about life encourages us to seek the known and comfortable and yet so infrequently is that where growth and progress is realized.

The writing style is wonderful. I've given copies of the book to my HR friends - and it has been very well received

Imagine if more organizations embraced this thinking!",The necessity of this book!,0,0,16,12,6,11,4,3,2,0,0,0,1,0,83,5
5,0,True,"05 7, 2014",1118461304,{'Format:': ' Hardcover'},"As with ""Surrounded by Genius"", Alan Gregerman brings simple ideas to create inspiration.  Never underestimate the human spirit and those around you to bring creativity and innovation to any challenge.  Alan has once again put a tool in our hands to invite us to look to those around us for solutions and guidance.",Great insight-Great book,0,0,10,8,2,3,9,4,2,0,2,0,0,0,53,3
5,0,False,"05 4, 2014",1118461304,{'Format:': ' Hardcover'},Alan Gregermans book provides valuable ideas for leaders who are required to continually scan and look for new and better ways to engage their employees and customers and innovatively grow their business.  His stories and guidance empower leaders to take actions that lead to possibility while broadening connections.,The Necessity of Strangers dares you to be open and explore to realize personal and organizational growth.,0,0,14,9,3,2,3,2,1,3,3,0,1,2,48,17
5,0,False,"05 2, 2014",1118461304,{'Format:': ' Hardcover'},"I am a believer in Alan Gregerman.  I have enjoyed his blogs, lectures and books for several years.  Alan offers fun and practical guidance on not only getting the most out of our work, but out of our lives.

Alan encourages us to get out of the comfort zone.  When faced with an urgent problem, most of us buckle down, bring in our closest advisors, lock the doors, order in dinner and make very important decisions.  Alan argues that we need to get out of the office, walk around and see what other great companies are doing.

Why?  In his latest offering, Alan reminds us the importance of strangers in our lives and the companies and organizations where we work.  In this Facebook world we live in, where many of us may have thousands of friends, Alan reminds us that friends can only get us so far..they are often reflections of ourselves.  While these might be comforting in a scary, for us to grow we must get out of the comfort zone in order to reach  our full potential?

We are a society that worships great ideas and often think that you must be brilliant like a Jobs or Zuckerberg.  Alan reminds us that most great ideas are borrowed from strangers and that the answers to our problem might be right and front of us.  He references  the Census, a process remained unchanged for nearly two centuries, and how it was improved by learning from our friends at UPS . That ITunes is merely a takeoff of The Great Library in Alexandria.  That most new drug discoveries are not being uncovered in isolated laboratories, but in faraway places that have treated these diseases for hundreds of years.

99% of all ideas embrace the brilliance in the world around us. Curiosity. Humility. Respect.  While we all cannot be brilliant, we all can be curious, humble and respectful.  It is these arrows we need in quivers to reach our full potential,",Review: The Necessity of Strangers,0,0,61,38,28,12,45,18,1,0,0,0,1,2,329,5
